,price,time
0,32574.8,2021-07-13 18:13:15.670
36,32577.2,2021-07-13 18:13:37.507
79,32593.25,2021-07-13 18:13:53.655
100,32594.9,2021-07-13 18:14:10.373
142,32592.2,2021-07-13 18:14:32.416
185,32593.85,2021-07-13 18:14:53.657
226,32609.0,2021-07-13 18:15:16.205
269,32609.0,2021-07-13 18:15:33.004
311,32619.0,2021-07-13 18:15:53.659
332,32620.6,2021-07-13 18:16:11.316
375,32620.3,2021-07-13 18:16:33.002
417,32629.75,2021-07-13 18:16:54.974
460,32621.05,2021-07-13 18:17:15.291
503,32617.5,2021-07-13 18:17:33.004
525,32609.25,2021-07-13 18:17:50.640
572,32586.85,2021-07-13 18:18:12.716
614,32582.5,2021-07-13 18:18:30.598
656,32606.55,2021-07-13 18:18:50.215
677,32595.25,2021-07-13 18:19:10.628
718,32610.0,2021-07-13 18:19:32.298
757,32617.5,2021-07-13 18:19:50.218
798,32609.9,2021-07-13 18:20:10.610
840,32591.3,2021-07-13 18:20:31.202
882,32600.8,2021-07-13 18:20:51.583
903,32621.25,2021-07-13 18:21:11.702
944,32631.65,2021-07-13 18:21:33.358
985,32635.5,2021-07-13 18:21:53.706
1026,32625.85,2021-07-13 18:22:10.762
1068,32628.0,2021-07-13 18:22:33.610
1089,32639.0,2021-07-13 18:22:50.537
1131,32637.1,2021-07-13 18:23:10.756
1173,32643.0,2021-07-13 18:23:34.705
1214,32618.7,2021-07-13 18:23:53.731
1256,32621.85,2021-07-13 18:24:15.507
1298,32622.95,2021-07-13 18:24:30.533
1318,32622.7,2021-07-13 18:24:50.450
1360,32630.75,2021-07-13 18:25:10.305
1401,32625.75,2021-07-13 18:25:30.411
1442,32652.5,2021-07-13 18:25:50.524
1484,32668.6,2021-07-13 18:26:10.401
1525,32668.6,2021-07-13 18:26:30.500
1545,32671.05,2021-07-13 18:26:50.201
1587,32690.8,2021-07-13 18:27:10.586
1626,32677.9,2021-07-13 18:27:30.503
1664,32686.25,2021-07-13 18:27:50.530
1706,32690.5,2021-07-13 18:28:12.033
1728,32699.5,2021-07-13 18:28:30.206
1771,32702.25,2021-07-13 18:28:50.601
1814,32698.25,2021-07-13 18:29:11.000
1857,32676.9,2021-07-13 18:29:31.408
1900,32680.35,2021-07-13 18:29:51.775
1943,32690.75,2021-07-13 18:30:17.984
1965,32666.0,2021-07-13 18:30:31.444
2008,32664.0,2021-07-13 18:30:53.574
2051,32647.25,2021-07-13 18:31:15.558
2093,32669.05,2021-07-13 18:31:37.349
2136,32670.75,2021-07-13 18:31:53.796
2157,32672.5,2021-07-13 18:32:10.338
2200,32667.55,2021-07-13 18:32:32.364
2243,32667.55,2021-07-13 18:32:54.708
2285,32662.75,2021-07-13 18:33:16.332
2328,32661.6,2021-07-13 18:33:32.990
2371,32661.0,2021-07-13 18:33:53.812
2392,32646.5,2021-07-13 18:34:11.407
2435,32654.25,2021-07-13 18:34:33.528
2478,32652.75,2021-07-13 18:34:53.801
2514,32656.25,2021-07-13 18:35:15.923
2555,32663.0,2021-07-13 18:35:33.001
2577,32661.75,2021-07-13 18:35:50.541
2619,32654.25,2021-07-13 18:36:12.315
2662,32650.0,2021-07-13 18:36:34.302
2705,32652.5,2021-07-13 18:36:50.833
2748,32655.0,2021-07-13 18:37:15.652
2791,32652.0,2021-07-13 18:37:33.001
2826,32651.25,2021-07-13 18:37:53.853
2868,32650.25,2021-07-13 18:38:16.181
2889,32648.0,2021-07-13 18:38:31.580
2931,32662.75,2021-07-13 18:38:53.711
2972,32662.25,2021-07-13 18:39:15.463
3014,32673.35,2021-07-13 18:39:37.510
3056,32672.0,2021-07-13 18:39:53.857
3077,32667.3,2021-07-13 18:40:10.524
3118,32676.6,2021-07-13 18:40:32.254
3160,32678.35,2021-07-13 18:40:54.348
3202,32671.5,2021-07-13 18:41:14.887
3243,32664.1,2021-07-13 18:41:38.299
3285,32652.75,2021-07-13 18:41:51.102
3306,32656.5,2021-07-13 18:42:11.699
3347,32664.85,2021-07-13 18:42:33.063
3388,32655.25,2021-07-13 18:42:55.265
3430,32655.25,2021-07-13 18:43:17.596
3465,32675.35,2021-07-13 18:43:38.923
3486,32677.0,2021-07-13 18:43:50.527
3527,32694.85,2021-07-13 18:44:12.237
3569,32694.35,2021-07-13 18:44:32.898
3611,32692.25,2021-07-13 18:44:53.914
3652,32694.5,2021-07-13 18:45:17.994
3694,32703.75,2021-07-13 18:45:38.907
3714,32740.0,2021-07-13 18:45:51.261
3755,32764.35,2021-07-13 18:46:13.179
3797,32765.25,2021-07-13 18:46:35.240
3838,32834.5,2021-07-13 18:46:55.476
3880,32784.6,2021-07-13 18:47:16.240
3901,32796.75,2021-07-13 18:47:30.661
3955,32788.5,2021-07-13 18:47:53.917
3977,32797.5,2021-07-13 18:48:10.498
4020,32779.3,2021-07-13 18:48:32.670
4062,32776.5,2021-07-13 18:48:54.253
4105,32809.75,2021-07-13 18:49:14.260
4148,32821.5,2021-07-13 18:49:32.975
4191,32833.55,2021-07-13 18:49:53.937
4212,32829.5,2021-07-13 18:50:11.510
4255,32813.15,2021-07-13 18:50:33.611
4297,32801.25,2021-07-13 18:50:50.323
4340,32791.5,2021-07-13 18:51:17.605
4382,32783.0,2021-07-13 18:51:31.255
4404,32778.25,2021-07-13 18:51:50.445
4444,32821.1,2021-07-13 18:52:12.004
4488,32816.25,2021-07-13 18:52:32.364
4534,32817.75,2021-07-13 18:52:52.729
4555,32807.75,2021-07-13 18:53:10.409
4597,32795.0,2021-07-13 18:53:32.598
4638,32786.55,2021-07-13 18:53:53.773
4680,32790.35,2021-07-13 18:54:14.130
4722,32795.0,2021-07-13 18:54:34.499
4764,32793.5,2021-07-13 18:54:53.965
4785,32788.25,2021-07-13 18:55:11.408
4827,32792.0,2021-07-13 18:55:33.035
4869,32792.75,2021-07-13 18:55:53.977
4911,32775.5,2021-07-13 18:56:16.418
4952,32768.5,2021-07-13 18:56:35.588
4973,32760.5,2021-07-13 18:56:50.299
5014,32759.75,2021-07-13 18:57:12.622
5056,32776.75,2021-07-13 18:57:33.002
5101,32770.5,2021-07-13 18:57:58.621
5144,32775.5,2021-07-13 18:58:20.511
5165,32766.85,2021-07-13 18:58:31.254
5209,32769.0,2021-07-13 18:58:53.578
5252,32790.5,2021-07-13 18:59:15.534
5295,32799.5,2021-07-13 18:59:37.306
5336,32791.25,2021-07-13 18:59:54.075
5379,32779.1,2021-07-13 19:00:20.910
5401,32769.5,2021-07-13 19:00:31.199
5443,32815.35,2021-07-13 19:00:51.558
5486,32870.25,2021-07-13 19:01:11.938
5528,32809.8,2021-07-13 19:01:37.735
5543,32827.25,2021-07-13 19:01:50.352
5586,32778.85,2021-07-13 19:02:12.603
5629,32766.85,2021-07-13 19:02:33.603
5677,32755.25,2021-07-13 19:02:53.956
5697,32748.25,2021-07-13 19:03:10.339
5738,32737.85,2021-07-13 19:03:32.259
5780,32731.0,2021-07-13 19:03:54.066
5821,32726.75,2021-07-13 19:04:15.595
5856,32733.8,2021-07-13 19:04:35.961
5895,32721.45,2021-07-13 19:04:54.102
5915,32736.25,2021-07-13 19:05:12.191
5957,32729.5,2021-07-13 19:05:30.654
5997,32713.0,2021-07-13 19:05:54.103
6039,32719.85,2021-07-13 19:06:15.104
6075,32699.5,2021-07-13 19:06:40.555
6096,32702.25,2021-07-13 19:06:51.649
6137,32711.55,2021-07-13 19:07:13.314
6179,32713.15,2021-07-13 19:07:35.670
6206,32717.4,2021-07-13 19:07:50.270
6249,32715.0,2021-07-13 19:08:12.226
