,price,time
0,32973.6,2021-07-13 14:13:04.468
21,32987.0,2021-07-13 14:13:24.545
64,33000.35,2021-07-13 14:13:50.392
107,32993.0,2021-07-13 14:14:09.581
129,32997.5,2021-07-13 14:14:23.573
168,32994.5,2021-07-13 14:14:45.578
209,32972.5,2021-07-13 14:15:06.750
251,32978.5,2021-07-13 14:15:24.570
292,32991.75,2021-07-13 14:15:46.687
313,32993.9,2021-07-13 14:16:03.524
354,33003.75,2021-07-13 14:16:25.485
395,33004.5,2021-07-13 14:16:46.689
436,33007.1,2021-07-13 14:17:09.316
477,33032.25,2021-07-13 14:17:24.177
514,33031.5,2021-07-13 14:17:46.664
527,33031.85,2021-07-13 14:18:04.639
566,33034.85,2021-07-13 14:18:26.324
608,33042.5,2021-07-13 14:18:48.456
649,33049.1,2021-07-13 14:19:10.336
690,33052.05,2021-07-13 14:19:29.305
711,33044.25,2021-07-13 14:19:43.625
752,33041.75,2021-07-13 14:20:05.368
793,33043.1,2021-07-13 14:20:24.607
836,33050.0,2021-07-13 14:20:43.616
878,33063.55,2021-07-13 14:21:08.208
914,33063.55,2021-07-13 14:21:24.643
935,33052.75,2021-07-13 14:21:44.613
976,33065.25,2021-07-13 14:22:06.208
1017,33068.5,2021-07-13 14:22:24.609
1059,33072.1,2021-07-13 14:22:46.703
1101,33049.75,2021-07-13 14:23:09.770
1122,33053.9,2021-07-13 14:23:23.572
1164,33054.4,2021-07-13 14:23:45.650
1205,33056.0,2021-07-13 14:24:07.206
1244,33051.6,2021-07-13 14:24:29.361
1285,33051.9,2021-07-13 14:24:46.689
1327,33038.15,2021-07-13 14:25:13.588
1345,33034.7,2021-07-13 14:25:24.378
1387,33029.35,2021-07-13 14:25:44.208
1429,33018.75,2021-07-13 14:26:04.568
1470,33015.25,2021-07-13 14:26:24.675
1512,33028.9,2021-07-13 14:26:52.442
1533,33028.9,2021-07-13 14:27:08.937
1573,33028.9,2021-07-13 14:27:23.861
1594,33035.0,2021-07-13 14:27:43.654
1635,33037.1,2021-07-13 14:28:04.044
1676,33046.85,2021-07-13 14:28:24.623
1717,33023.5,2021-07-13 14:28:44.988
1760,33027.0,2021-07-13 14:29:05.343
1801,33017.85,2021-07-13 14:29:25.708
1822,33021.0,2021-07-13 14:29:44.491
1864,33018.35,2021-07-13 14:30:06.411
1913,33041.25,2021-07-13 14:30:26.759
1935,33053.6,2021-07-13 14:30:45.651
1977,33054.0,2021-07-13 14:31:07.479
2013,33041.75,2021-07-13 14:31:27.830
2034,33044.75,2021-07-13 14:31:44.549
2077,33045.25,2021-07-13 14:32:06.581
2120,33037.75,2021-07-13 14:32:28.597
2163,33055.85,2021-07-13 14:32:46.673
2205,33052.25,2021-07-13 14:33:12.271
2230,33047.75,2021-07-13 14:33:24.701
2273,33049.5,2021-07-13 14:33:46.664
2316,33059.6,2021-07-13 14:34:10.512
2359,33064.0,2021-07-13 14:34:24.719
2381,33076.5,2021-07-13 14:34:43.669
2423,33091.1,2021-07-13 14:35:05.489
2466,33081.0,2021-07-13 14:35:24.739
2506,33081.1,2021-07-13 14:35:46.675
2549,33087.6,2021-07-13 14:36:11.315
2582,33079.25,2021-07-13 14:36:23.567
2604,33070.5,2021-07-13 14:36:43.955
2645,33075.5,2021-07-13 14:37:04.854
2688,33072.25,2021-07-13 14:37:25.008
2731,33087.75,2021-07-13 14:37:51.430
2772,33115.25,2021-07-13 14:38:08.863
2806,33118.25,2021-07-13 14:38:24.754
2846,33109.75,2021-07-13 14:38:46.481
2867,33126.5,2021-07-13 14:39:04.362
2909,33124.8,2021-07-13 14:39:26.681
2950,33127.0,2021-07-13 14:39:47.624
2989,33131.25,2021-07-13 14:40:07.997
3031,33135.75,2021-07-13 14:40:28.377
3060,33155.05,2021-07-13 14:40:46.678
3103,33150.75,2021-07-13 14:41:09.093
3146,33142.85,2021-07-13 14:41:24.786
3189,33185.35,2021-07-13 14:41:46.692
3210,33198.3,2021-07-13 14:42:03.539
3252,33191.75,2021-07-13 14:42:24.792
3297,33187.4,2021-07-13 14:42:46.700
3339,33169.25,2021-07-13 14:43:09.795
3382,33172.0,2021-07-13 14:43:31.681
3400,33170.75,2021-07-13 14:43:43.652
3442,33172.5,2021-07-13 14:44:05.434
3485,33176.25,2021-07-13 14:44:27.456
3527,33174.0,2021-07-13 14:44:49.252
3569,33172.35,2021-07-13 14:45:05.711
3612,33161.4,2021-07-13 14:45:31.686
3633,33154.0,2021-07-13 14:45:44.392
3676,33151.75,2021-07-13 14:46:05.614
3718,33155.5,2021-07-13 14:46:28.382
3749,33162.45,2021-07-13 14:46:44.417
3791,33162.7,2021-07-13 14:47:03.795
3830,33151.85,2021-07-13 14:47:24.074
3872,33152.0,2021-07-13 14:47:46.249
3915,33153.25,2021-07-13 14:48:05.476
3936,33152.0,2021-07-13 14:48:24.400
3979,33161.25,2021-07-13 14:48:46.525
4019,33143.25,2021-07-13 14:49:08.230
4062,33137.75,2021-07-13 14:49:24.843
4105,33140.25,2021-07-13 14:49:52.690
4126,33142.5,2021-07-13 14:50:03.557
4168,33120.75,2021-07-13 14:50:25.519
4209,33078.85,2021-07-13 14:50:48.305
