,price,time
0,33160.25,2021-07-13 11:26:16.645
10,33173.7,2021-07-13 11:26:31.638
31,33169.0,2021-07-13 11:26:43.574
73,33168.0,2021-07-13 11:27:03.950
115,33174.75,2021-07-13 11:27:29.619
156,33176.6,2021-07-13 11:27:46.647
197,33174.75,2021-07-13 11:28:04.416
218,33174.5,2021-07-13 11:28:24.309
259,33165.5,2021-07-13 11:28:46.227
289,33168.7,2021-07-13 11:29:06.587
331,33179.25,2021-07-13 11:29:26.958
373,33177.5,2021-07-13 11:29:46.655
393,33182.5,2021-07-13 11:30:03.269
435,33195.75,2021-07-13 11:30:25.385
475,33190.75,2021-07-13 11:30:46.656
