,price,time
0,32669.75,2021-07-13 19:12:54.206
2,32669.5,2021-07-13 19:13:20.329
24,32669.85,2021-07-13 19:13:31.467
67,32670.25,2021-07-13 19:13:53.366
111,32657.5,2021-07-13 19:14:14.811
154,32656.75,2021-07-13 19:14:32.976
198,32641.1,2021-07-13 19:14:59.644
219,32637.75,2021-07-13 19:15:10.299
262,32666.6,2021-07-13 19:15:32.240
300,32663.25,2021-07-13 19:15:54.171
343,32678.5,2021-07-13 19:16:16.603
386,32688.25,2021-07-13 19:16:38.395
429,32718.65,2021-07-13 19:16:55.038
451,32700.5,2021-07-13 19:17:11.555
494,32682.75,2021-07-13 19:17:33.382
549,32690.85,2021-07-13 19:17:54.786
570,32697.6,2021-07-13 19:18:11.408
613,32718.05,2021-07-13 19:18:31.770
656,32717.75,2021-07-13 19:18:52.134
699,32707.1,2021-07-13 19:19:12.509
741,32711.5,2021-07-13 19:19:31.081
763,32709.75,2021-07-13 19:19:51.486
806,32721.35,2021-07-13 19:20:13.573
848,32741.15,2021-07-13 19:20:32.537
891,32745.35,2021-07-13 19:20:54.201
934,32770.6,2021-07-13 19:21:14.862
955,32787.5,2021-07-13 19:21:30.419
998,32782.25,2021-07-13 19:21:52.666
1040,32765.25,2021-07-13 19:22:14.215
1083,32750.75,2021-07-13 19:22:31.282
1128,32751.5,2021-07-13 19:22:55.478
1149,32753.25,2021-07-13 19:23:10.303
1193,32743.5,2021-07-13 19:23:32.622
1236,32734.75,2021-07-13 19:23:54.250
1279,32719.75,2021-07-13 19:24:16.441
1322,32730.0,2021-07-13 19:24:31.015
1362,32728.75,2021-07-13 19:24:54.248
1384,32732.35,2021-07-13 19:25:11.518
1427,32759.85,2021-07-13 19:25:33.355
1470,32764.25,2021-07-13 19:25:55.284
1513,32767.1,2021-07-13 19:26:17.350
1557,32787.5,2021-07-13 19:26:30.446
1579,32771.25,2021-07-13 19:26:50.650
1622,32776.6,2021-07-13 19:27:11.181
1665,32799.4,2021-07-13 19:27:31.549
1709,32794.75,2021-07-13 19:27:51.904
1753,32768.0,2021-07-13 19:28:18.009
1796,32771.25,2021-07-13 19:28:33.054
1818,32771.0,2021-07-13 19:28:51.440
1861,32786.1,2021-07-13 19:29:13.268
1905,32778.75,2021-07-13 19:29:35.463
1949,32777.0,2021-07-13 19:29:54.265
1991,32775.75,2021-07-13 19:30:14.835
2013,32812.5,2021-07-13 19:30:30.346
2057,32820.0,2021-07-13 19:30:52.657
2100,32827.9,2021-07-13 19:31:14.515
2143,32830.25,2021-07-13 19:31:32.999
2187,32841.0,2021-07-13 19:31:54.302
2231,32847.5,2021-07-13 19:32:17.107
2253,32850.0,2021-07-13 19:32:31.641
2290,32843.5,2021-07-13 19:32:50.521
2328,32832.75,2021-07-13 19:33:10.377
2370,32848.0,2021-07-13 19:33:32.549
2412,32839.6,2021-07-13 19:33:54.350
2452,32838.75,2021-07-13 19:34:14.671
2494,32858.1,2021-07-13 19:34:30.409
2536,32851.75,2021-07-13 19:34:50.714
2557,32832.25,2021-07-13 19:35:10.519
2599,32840.25,2021-07-13 19:35:30.703
2641,32805.5,2021-07-13 19:35:50.706
2683,32796.6,2021-07-13 19:36:10.703
2726,32827.5,2021-07-13 19:36:30.711
2747,32812.0,2021-07-13 19:36:50.385
2789,32791.9,2021-07-13 19:37:10.504
2831,32794.4,2021-07-13 19:37:30.703
2873,32792.4,2021-07-13 19:37:50.708
2915,32791.65,2021-07-13 19:38:10.688
2957,32796.25,2021-07-13 19:38:30.672
2978,32780.25,2021-07-13 19:38:51.657
3020,32777.1,2021-07-13 19:39:13.680
3062,32779.85,2021-07-13 19:39:33.017
3104,32780.75,2021-07-13 19:39:57.409
3146,32765.5,2021-07-13 19:40:15.034
3167,32764.35,2021-07-13 19:40:30.493
3209,32774.5,2021-07-13 19:40:52.451
3251,32771.5,2021-07-13 19:41:14.468
3293,32789.75,2021-07-13 19:41:34.053
3335,32780.5,2021-07-13 19:41:54.442
3377,32771.5,2021-07-13 19:42:20.498
3398,32750.85,2021-07-13 19:42:31.549
3434,32749.7,2021-07-13 19:42:50.486
3479,32753.0,2021-07-13 19:43:13.568
3522,32758.0,2021-07-13 19:43:33.002
3566,32754.1,2021-07-13 19:43:50.256
3609,32756.0,2021-07-13 19:44:10.618
3646,32756.75,2021-07-13 19:44:30.971
3668,32765.35,2021-07-13 19:44:51.344
3711,32791.05,2021-07-13 19:45:11.722
3754,32757.5,2021-07-13 19:45:32.288
3798,32752.9,2021-07-13 19:45:52.647
3841,32754.0,2021-07-13 19:46:13.008
3863,32733.5,2021-07-13 19:46:31.522
3906,32731.5,2021-07-13 19:46:50.687
3949,32737.75,2021-07-13 19:47:14.086
3993,32724.5,2021-07-13 19:47:30.553
4036,32712.25,2021-07-13 19:47:50.681
4057,32738.5,2021-07-13 19:48:10.265
4100,32735.65,2021-07-13 19:48:30.686
4144,32754.5,2021-07-13 19:48:50.693
4187,32758.25,2021-07-13 19:49:10.680
4230,32759.2,2021-07-13 19:49:30.713
4273,32759.75,2021-07-13 19:49:50.686
4295,32773.1,2021-07-13 19:50:10.679
4338,32778.0,2021-07-13 19:50:30.682
4381,32778.75,2021-07-13 19:50:50.689
4424,32769.5,2021-07-13 19:51:10.692
