,price,time
0,33167.5,2021-07-13 05:46:02.765
20,33156.75,2021-07-13 05:46:31.433
41,33158.6,2021-07-13 05:46:43.548
82,33159.0,2021-07-13 05:47:05.157
123,33158.75,2021-07-13 05:47:23.457
165,33173.6,2021-07-13 05:47:46.249
206,33144.0,2021-07-13 05:48:06.607
227,33155.85,2021-07-13 05:48:23.516
268,33146.0,2021-07-13 05:48:45.279
310,33153.7,2021-07-13 05:49:07.485
350,33154.25,2021-07-13 05:49:28.222
397,33143.75,2021-07-13 05:49:48.575
416,33143.35,2021-07-13 05:50:04.542
458,33143.2,2021-07-13 05:50:26.534
500,33143.35,2021-07-13 05:50:46.442
542,33151.5,2021-07-13 05:51:02.727
583,33152.6,2021-07-13 05:51:30.566
604,33155.55,2021-07-13 05:51:43.333
646,33157.25,2021-07-13 05:52:05.448
688,33155.75,2021-07-13 05:52:23.506
730,33151.15,2021-07-13 05:52:46.422
769,33161.0,2021-07-13 05:53:02.589
810,33157.5,2021-07-13 05:53:31.430
831,33161.5,2021-07-13 05:53:44.493
872,33157.0,2021-07-13 05:54:02.761
914,33150.65,2021-07-13 05:54:28.316
941,33151.0,2021-07-13 05:54:42.673
982,33152.5,2021-07-13 05:55:04.429
1024,33157.35,2021-07-13 05:55:26.642
1065,33156.0,2021-07-13 05:55:46.446
1101,33153.4,2021-07-13 05:56:10.558
1142,33131.5,2021-07-13 05:56:26.199
1163,33128.85,2021-07-13 05:56:43.451
1205,33118.25,2021-07-13 05:57:03.832
1246,33114.5,2021-07-13 05:57:27.272
1288,33117.25,2021-07-13 05:57:47.635
1330,33103.5,2021-07-13 05:58:05.252
1371,33089.75,2021-07-13 05:58:31.456
1392,33088.0,2021-07-13 05:58:44.469
1434,33088.65,2021-07-13 05:59:03.285
1473,33079.0,2021-07-13 05:59:28.397
1518,33084.25,2021-07-13 05:59:46.436
1560,33086.0,2021-07-13 06:00:05.273
1582,33088.75,2021-07-13 06:00:24.422
1625,33088.0,2021-07-13 06:00:46.481
1668,33093.1,2021-07-13 06:01:05.268
1711,33117.75,2021-07-13 06:01:30.471
1754,33122.85,2021-07-13 06:01:46.433
1777,33124.0,2021-07-13 06:02:03.518
1817,33119.4,2021-07-13 06:02:25.606
1860,33117.65,2021-07-13 06:02:42.826
1903,33121.1,2021-07-13 06:03:02.811
1946,33119.4,2021-07-13 06:03:31.193
1990,33120.25,2021-07-13 06:03:46.436
2011,33122.5,2021-07-13 06:04:02.627
2055,33147.1,2021-07-13 06:04:26.667
2102,33154.95,2021-07-13 06:04:45.194
2143,33155.35,2021-07-13 06:05:03.847
2161,33162.85,2021-07-13 06:05:24.207
2203,33145.0,2021-07-13 06:05:46.455
2244,33153.1,2021-07-13 06:06:02.781
2286,33156.85,2021-07-13 06:06:30.254
2328,33181.85,2021-07-13 06:06:46.452
2350,33182.35,2021-07-13 06:07:02.615
2391,33160.75,2021-07-13 06:07:23.822
2432,33164.75,2021-07-13 06:07:47.284
2471,33177.25,2021-07-13 06:08:09.253
2513,33180.5,2021-07-13 06:08:31.456
2555,33178.75,2021-07-13 06:08:46.452
2577,33182.75,2021-07-13 06:09:04.517
2618,33192.25,2021-07-13 06:09:26.625
2668,33171.75,2021-07-13 06:09:46.485
2690,33176.0,2021-07-13 06:10:03.634
2732,33187.8,2021-07-13 06:10:25.294
2776,33195.25,2021-07-13 06:10:46.451
2816,33196.0,2021-07-13 06:11:02.781
2861,33196.5,2021-07-13 06:11:22.613
2903,33197.0,2021-07-13 06:11:42.978
2924,33187.7,2021-07-13 06:12:02.865
2967,33189.6,2021-07-13 06:12:23.664
3010,33188.5,2021-07-13 06:12:44.010
3053,33198.75,2021-07-13 06:13:02.850
3087,33190.2,2021-07-13 06:13:24.727
3129,33182.5,2021-07-13 06:13:45.077
3169,33186.1,2021-07-13 06:14:02.749
3190,33194.35,2021-07-13 06:14:23.397
3232,33192.5,2021-07-13 06:14:45.568
3274,33198.25,2021-07-13 06:15:02.583
3315,33207.0,2021-07-13 06:15:26.851
3357,33222.25,2021-07-13 06:15:46.438
3378,33221.0,2021-07-13 06:16:02.585
3419,33219.7,2021-07-13 06:16:24.288
3459,33212.25,2021-07-13 06:16:46.433
3501,33216.9,2021-07-13 06:17:08.577
3542,33223.5,2021-07-13 06:17:28.939
3584,33221.5,2021-07-13 06:17:52.422
3605,33221.65,2021-07-13 06:18:03.474
3647,33222.15,2021-07-13 06:18:25.639
3688,33223.35,2021-07-13 06:18:47.367
3729,33224.0,2021-07-13 06:19:09.285
3772,33228.25,2021-07-13 06:19:31.441
3811,33229.5,2021-07-13 06:19:50.440
3832,33221.25,2021-07-13 06:20:04.654
3873,33217.4,2021-07-13 06:20:26.339
3921,33209.95,2021-07-13 06:20:46.576
3964,33210.55,2021-07-13 06:21:05.476
3986,33210.7,2021-07-13 06:21:24.336
4029,33200.4,2021-07-13 06:21:46.332
4068,33204.0,2021-07-13 06:22:02.768
4113,33202.8,2021-07-13 06:22:24.601
4134,33199.2,2021-07-13 06:22:42.610
4177,33184.35,2021-07-13 06:23:04.457
4220,33192.4,2021-07-13 06:23:26.557
4263,33188.95,2021-07-13 06:23:46.186
4306,33186.1,2021-07-13 06:24:06.536
4349,33190.5,2021-07-13 06:24:26.897
4368,33187.5,2021-07-13 06:24:43.437
4411,33185.35,2021-07-13 06:25:02.766
4454,33190.0,2021-07-13 06:25:27.484
