,price,time
0,33174.0,2021-07-13 03:46:06.272
20,33165.5,2021-07-13 03:46:26.618
41,33165.5,2021-07-13 03:46:42.557
94,33192.35,2021-07-13 03:47:07.364
137,33167.95,2021-07-13 03:47:27.737
158,33130.75,2021-07-13 03:47:43.407
201,33130.85,2021-07-13 03:48:05.446
244,33157.5,2021-07-13 03:48:27.400
285,33140.6,2021-07-13 03:48:46.410
328,33129.75,2021-07-13 03:49:02.534
371,33109.6,2021-07-13 03:49:31.390
392,33110.9,2021-07-13 03:49:44.434
435,33120.0,2021-07-13 03:50:06.611
478,33089.1,2021-07-13 03:50:28.620
520,33090.85,2021-07-13 03:50:50.554
562,33101.75,2021-07-13 03:51:12.217
584,33084.8,2021-07-13 03:51:23.547
624,33098.8,2021-07-13 03:51:45.408
670,33087.4,2021-07-13 03:52:02.582
711,33071.85,2021-07-13 03:52:22.946
753,33066.25,2021-07-13 03:52:43.521
774,33062.0,2021-07-13 03:53:02.519
816,33065.3,2021-07-13 03:53:22.876
857,33065.05,2021-07-13 03:53:46.399
899,33040.9,2021-07-13 03:54:10.599
938,33034.75,2021-07-13 03:54:32.083
959,33031.0,2021-07-13 03:54:43.640
1000,33032.75,2021-07-13 03:55:02.725
1042,33038.55,2021-07-13 03:55:23.999
1084,33029.25,2021-07-13 03:55:46.403
1125,33033.3,2021-07-13 03:56:02.816
1161,33058.6,2021-07-13 03:56:31.418
1182,33056.15,2021-07-13 03:56:44.607
1232,33051.25,2021-07-13 03:57:03.755
1253,33067.25,2021-07-13 03:57:22.665
1293,33069.15,2021-07-13 03:57:44.188
1335,33053.75,2021-07-13 03:58:03.672
1374,33071.25,2021-07-13 03:58:30.479
1415,33082.0,2021-07-13 03:58:49.189
1436,33069.25,2021-07-13 03:59:02.542
1477,33063.5,2021-07-13 03:59:25.679
1518,33069.75,2021-07-13 03:59:46.453
1560,33069.5,2021-07-13 04:00:02.551
1602,33047.75,2021-07-13 04:00:22.919
1620,33020.5,2021-07-13 04:00:42.680
1661,33019.0,2021-07-13 04:01:03.601
1702,33029.25,2021-07-13 04:01:24.187
1743,33029.5,2021-07-13 04:01:44.552
1785,33048.85,2021-07-13 04:02:04.911
1827,33023.6,2021-07-13 04:02:32.224
1849,33020.25,2021-07-13 04:02:43.532
1889,33015.85,2021-07-13 04:03:03.222
1931,32996.25,2021-07-13 04:03:27.343
1974,32993.25,2021-07-13 04:03:46.422
2016,32996.75,2021-07-13 04:04:11.244
2059,33011.85,2021-07-13 04:04:24.091
2080,32970.6,2021-07-13 04:04:44.477
2123,32977.9,2021-07-13 04:05:02.865
2165,32982.75,2021-07-13 04:05:22.829
2204,32999.0,2021-07-13 04:05:46.480
2247,32990.75,2021-07-13 04:06:04.234
2268,33010.45,2021-07-13 04:06:23.234
2311,33009.0,2021-07-13 04:06:45.357
2354,33014.5,2021-07-13 04:07:07.600
2396,33016.1,2021-07-13 04:07:22.871
2439,33020.35,2021-07-13 04:07:47.263
2461,33011.65,2021-07-13 04:08:02.563
2503,33007.0,2021-07-13 04:08:23.154
2545,33007.5,2021-07-13 04:08:43.513
2588,32996.6,2021-07-13 04:09:02.581
2631,32992.0,2021-07-13 04:09:24.275
2673,32993.75,2021-07-13 04:09:44.662
2695,32993.6,2021-07-13 04:10:04.306
2737,32979.35,2021-07-13 04:10:25.359
2780,32976.0,2021-07-13 04:10:45.732
2823,32977.25,2021-07-13 04:11:02.762
2865,32986.5,2021-07-13 04:11:26.449
2887,32980.75,2021-07-13 04:11:43.665
2926,32981.6,2021-07-13 04:12:05.273
2969,32997.5,2021-07-13 04:12:27.270
3012,32997.2,2021-07-13 04:12:47.815
3055,32994.45,2021-07-13 04:13:02.703
3098,32983.75,2021-07-13 04:13:33.575
3119,32992.0,2021-07-13 04:13:44.452
3162,32980.3,2021-07-13 04:14:06.584
3204,32985.0,2021-07-13 04:14:28.378
3247,32992.35,2021-07-13 04:14:49.321
3287,33009.35,2021-07-13 04:15:12.475
3308,33006.25,2021-07-13 04:15:23.327
3351,33019.5,2021-07-13 04:15:45.444
3393,33016.35,2021-07-13 04:16:02.617
3436,33011.5,2021-07-13 04:16:29.523
3479,33020.6,2021-07-13 04:16:46.438
3516,33023.0,2021-07-13 04:17:02.651
3559,33009.85,2021-07-13 04:17:32.943
3579,33013.45,2021-07-13 04:17:43.246
3619,33026.75,2021-07-13 04:18:02.774
3661,33036.6,2021-07-13 04:18:22.866
3702,33024.9,2021-07-13 04:18:44.501
3744,33032.75,2021-07-13 04:19:02.688
3765,33026.9,2021-07-13 04:19:23.623
3806,33023.75,2021-07-13 04:19:45.438
3847,33021.7,2021-07-13 04:20:02.662
