,price,time
0,32837.65,2021-07-12 22:46:02.157
9,32850.6,2021-07-12 22:46:29.634
48,32868.75,2021-07-12 22:46:49.045
69,32862.85,2021-07-12 22:47:02.535
109,32848.2,2021-07-12 22:47:23.799
149,32815.95,2021-07-12 22:47:47.208
190,32784.25,2021-07-12 22:48:09.354
230,32809.0,2021-07-12 22:48:24.349
250,32811.75,2021-07-12 22:48:42.281
291,32820.1,2021-07-12 22:49:04.502
332,32824.5,2021-07-12 22:49:26.641
372,32826.75,2021-07-12 22:49:48.375
410,32836.8,2021-07-12 22:50:02.853
451,32839.5,2021-07-12 22:50:24.385
471,32832.95,2021-07-12 22:50:43.324
512,32833.6,2021-07-12 22:51:02.517
551,32834.5,2021-07-12 22:51:26.332
593,32851.85,2021-07-12 22:51:48.436
635,32853.35,2021-07-12 22:52:02.439
671,32863.75,2021-07-12 22:52:22.805
692,32840.6,2021-07-12 22:52:43.166
734,32827.5,2021-07-12 22:53:02.587
776,32842.0,2021-07-12 22:53:23.891
818,32819.5,2021-07-12 22:53:44.259
860,32780.1,2021-07-12 22:54:04.619
881,32811.35,2021-07-12 22:54:22.492
923,32809.55,2021-07-12 22:54:44.465
965,32812.6,2021-07-12 22:55:07.408
1007,32815.35,2021-07-12 22:55:24.456
1049,32807.75,2021-07-12 22:55:47.755
1070,32814.45,2021-07-12 22:56:02.411
1123,32826.75,2021-07-12 22:56:24.437
1163,32844.5,2021-07-12 22:56:49.967
1183,32842.1,2021-07-12 22:57:03.261
1222,32844.0,2021-07-12 22:57:23.524
1262,32845.2,2021-07-12 22:57:47.209
1303,32834.0,2021-07-12 22:58:02.175
1344,32846.5,2021-07-12 22:58:31.393
1364,32843.25,2021-07-12 22:58:42.225
1405,32851.45,2021-07-12 22:59:04.451
1446,32851.5,2021-07-12 22:59:26.610
1483,32820.55,2021-07-12 22:59:46.749
1523,32800.75,2021-07-12 23:00:02.827
1544,32772.25,2021-07-12 23:00:22.710
1584,32799.0,2021-07-12 23:00:43.238
1625,32788.5,2021-07-12 23:01:02.357
1672,32836.0,2021-07-12 23:01:23.956
1692,32850.5,2021-07-12 23:01:42.394
1721,32851.1,2021-07-12 23:02:02.301
1762,32784.75,2021-07-12 23:02:25.198
1803,32730.5,2021-07-12 23:02:45.545
1844,32751.6,2021-07-12 23:03:02.333
1885,32769.65,2021-07-12 23:03:26.240
1905,32739.75,2021-07-12 23:03:43.259
1946,32746.55,2021-07-12 23:04:02.393
1987,32689.75,2021-07-12 23:04:27.652
2024,32721.0,2021-07-12 23:04:45.771
2060,32721.65,2021-07-12 23:05:02.425
2080,32712.35,2021-07-12 23:05:22.246
2120,32713.5,2021-07-12 23:05:44.562
2160,32722.6,2021-07-12 23:06:02.484
2197,32704.25,2021-07-12 23:06:26.331
2238,32674.8,2021-07-12 23:06:45.637
2280,32683.15,2021-07-12 23:07:02.409
2320,32677.0,2021-07-12 23:07:30.860
2338,32705.75,2021-07-12 23:07:43.650
2378,32712.5,2021-07-12 23:08:02.217
2417,32684.6,2021-07-12 23:08:27.614
2451,32702.5,2021-07-12 23:08:42.222
2471,32700.4,2021-07-12 23:09:02.260
2510,32711.5,2021-07-12 23:09:22.935
2548,32731.35,2021-07-12 23:09:45.715
2584,32739.55,2021-07-12 23:10:02.601
2624,32729.25,2021-07-12 23:10:24.209
2644,32736.35,2021-07-12 23:10:42.470
2684,32751.1,2021-07-12 23:11:02.624
2724,32756.3,2021-07-12 23:11:25.261
2762,32750.75,2021-07-12 23:11:45.625
2801,32765.9,2021-07-12 23:12:02.613
2839,32764.5,2021-07-12 23:12:23.579
2856,32809.1,2021-07-12 23:12:43.561
2894,32799.6,2021-07-12 23:13:02.583
2933,32796.3,2021-07-12 23:13:27.512
2971,32784.35,2021-07-12 23:13:47.937
3007,32791.8,2021-07-12 23:14:02.569
3027,32793.15,2021-07-12 23:14:22.422
3066,32803.55,2021-07-12 23:14:44.268
3105,32799.6,2021-07-12 23:15:03.024
3144,32811.75,2021-07-12 23:15:28.423
3181,32832.0,2021-07-12 23:15:45.688
3220,32819.8,2021-07-12 23:16:02.430
3240,32846.0,2021-07-12 23:16:23.721
3278,32876.35,2021-07-12 23:16:45.658
3319,32879.65,2021-07-12 23:17:02.324
3357,32895.35,2021-07-12 23:17:23.271
3396,32914.5,2021-07-12 23:17:42.238
3415,32906.95,2021-07-12 23:18:02.245
3451,32888.5,2021-07-12 23:18:22.965
3489,32894.5,2021-07-12 23:18:45.852
3528,32902.5,2021-07-12 23:19:02.316
3567,32871.6,2021-07-12 23:19:24.240
3586,32865.65,2021-07-12 23:19:42.241
3626,32848.9,2021-07-12 23:20:02.338
3664,32850.75,2021-07-12 23:20:26.556
3703,32819.5,2021-07-12 23:20:45.696
3740,32815.8,2021-07-12 23:21:02.426
3779,32801.35,2021-07-12 23:21:26.435
3799,32804.0,2021-07-12 23:21:43.466
3838,32806.5,2021-07-12 23:22:02.378
3877,32822.5,2021-07-12 23:22:23.542
3917,32835.75,2021-07-12 23:22:45.703
3956,32769.6,2021-07-12 23:23:02.325
3976,32771.55,2021-07-12 23:23:22.535
4014,32779.95,2021-07-12 23:23:44.380
