,price,time
0,33260.1,2021-07-13 10:17:04.854
2,33247.6,2021-07-13 10:17:30.338
43,33253.25,2021-07-13 10:17:46.579
64,33256.05,2021-07-13 10:18:04.656
105,33268.6,2021-07-13 10:18:26.382
147,33283.5,2021-07-13 10:18:46.635
185,33329.75,2021-07-13 10:19:07.549
226,33261.75,2021-07-13 10:19:31.637
240,33261.0,2021-07-13 10:19:44.987
282,33258.75,2021-07-13 10:20:07.252
324,33251.85,2021-07-13 10:20:29.398
366,33256.25,2021-07-13 10:20:51.559
408,33279.05,2021-07-13 10:21:04.918
426,33269.45,2021-07-13 10:21:24.642
467,33236.0,2021-07-13 10:21:43.242
509,33233.35,2021-07-13 10:22:03.793
547,33240.75,2021-07-13 10:22:24.160
592,33213.35,2021-07-13 10:22:44.522
613,33203.75,2021-07-13 10:23:03.291
653,33186.6,2021-07-13 10:23:23.584
695,33207.0,2021-07-13 10:23:45.573
736,33200.25,2021-07-13 10:24:05.927
778,33194.85,2021-07-13 10:24:31.525
820,33205.0,2021-07-13 10:24:52.605
842,33213.25,2021-07-13 10:25:04.513
882,33200.75,2021-07-13 10:25:26.335
923,33192.75,2021-07-13 10:25:47.084
965,33191.75,2021-07-13 10:26:07.592
1007,33192.0,2021-07-13 10:26:31.606
1028,33189.75,2021-07-13 10:26:44.569
1070,33219.35,2021-07-13 10:27:03.721
1111,33191.75,2021-07-13 10:27:28.278
1152,33198.5,2021-07-13 10:27:48.794
1194,33197.5,2021-07-13 10:28:12.262
1213,33201.0,2021-07-13 10:28:23.563
1255,33211.95,2021-07-13 10:28:45.410
1297,33208.0,2021-07-13 10:29:07.534
1339,33215.25,2021-07-13 10:29:29.475
1381,33204.5,2021-07-13 10:29:46.620
1422,33212.25,2021-07-13 10:30:13.368
1434,33202.75,2021-07-13 10:30:24.999
1477,33208.6,2021-07-13 10:30:43.208
1519,33222.75,2021-07-13 10:31:03.578
1560,33202.5,2021-07-13 10:31:23.951
1601,33205.85,2021-07-13 10:31:52.686
1622,33195.75,2021-07-13 10:32:04.281
1665,33183.25,2021-07-13 10:32:26.677
1715,33206.6,2021-07-13 10:32:46.618
1736,33189.0,2021-07-13 10:33:04.338
1777,33203.8,2021-07-13 10:33:26.312
1816,33206.35,2021-07-13 10:33:46.631
1858,33205.75,2021-07-13 10:34:07.248
1896,33202.6,2021-07-13 10:34:27.630
1916,33216.25,2021-07-13 10:34:43.255
1957,33252.95,2021-07-13 10:35:05.451
1997,33273.25,2021-07-13 10:35:27.656
2036,33282.25,2021-07-13 10:35:49.073
2062,33249.85,2021-07-13 10:36:03.424
2103,33228.0,2021-07-13 10:36:26.613
2144,33208.35,2021-07-13 10:36:48.481
2185,33205.35,2021-07-13 10:37:09.655
2224,33213.25,2021-07-13 10:37:30.851
2245,33212.35,2021-07-13 10:37:43.515
2287,33212.35,2021-07-13 10:38:05.557
2329,33217.75,2021-07-13 10:38:27.619
2371,33206.55,2021-07-13 10:38:49.595
2412,33207.35,2021-07-13 10:39:07.732
2454,33206.35,2021-07-13 10:39:24.358
2474,33207.6,2021-07-13 10:39:44.239
2515,33207.85,2021-07-13 10:40:06.581
2554,33215.35,2021-07-13 10:40:24.249
2596,33214.5,2021-07-13 10:40:44.604
2636,33207.3,2021-07-13 10:41:04.978
2679,33206.6,2021-07-13 10:41:25.348
2700,33210.1,2021-07-13 10:41:44.374
2743,33204.6,2021-07-13 10:42:06.067
2785,33203.9,2021-07-13 10:42:26.434
2829,33205.0,2021-07-13 10:42:46.636
2871,33204.35,2021-07-13 10:43:04.304
2914,33202.35,2021-07-13 10:43:34.388
2936,33194.75,2021-07-13 10:43:45.631
2977,33183.5,2021-07-13 10:44:07.594
3018,33182.35,2021-07-13 10:44:29.288
3051,33173.75,2021-07-13 10:44:46.645
3093,33191.35,2021-07-13 10:45:13.352
3114,33188.75,2021-07-13 10:45:24.366
3157,33191.25,2021-07-13 10:45:46.672
3200,33189.0,2021-07-13 10:46:09.447
3241,33182.5,2021-07-13 10:46:30.913
3282,33179.0,2021-07-13 10:46:46.650
3303,33180.0,2021-07-13 10:47:04.716
3341,33182.0,2021-07-13 10:47:26.265
