,price,time
0,33135.75,2021-07-13 04:46:02.607
7,33137.6,2021-07-13 04:46:24.633
49,33137.0,2021-07-13 04:46:46.343
96,33140.25,2021-07-13 04:47:02.544
138,33137.0,2021-07-13 04:47:22.871
158,33141.75,2021-07-13 04:47:44.245
200,33156.5,2021-07-13 04:48:02.683
241,33150.75,2021-07-13 04:48:27.579
282,33162.5,2021-07-13 04:48:46.402
324,33169.6,2021-07-13 04:49:02.571
345,33181.6,2021-07-13 04:49:23.686
384,33185.25,2021-07-13 04:49:45.681
425,33189.5,2021-07-13 04:50:02.611
466,33185.95,2021-07-13 04:50:29.398
508,33189.7,2021-07-13 04:50:46.418
549,33187.35,2021-07-13 04:51:02.583
570,33188.75,2021-07-13 04:51:22.544
611,33197.5,2021-07-13 04:51:42.889
652,33206.5,2021-07-13 04:52:02.635
693,33205.65,2021-07-13 04:52:23.813
732,33207.25,2021-07-13 04:52:44.222
753,33202.75,2021-07-13 04:53:02.564
795,33186.25,2021-07-13 04:53:24.925
836,33184.2,2021-07-13 04:53:46.429
878,33190.2,2021-07-13 04:54:02.719
913,33189.45,2021-07-13 04:54:28.235
955,33186.7,2021-07-13 04:54:46.962
997,33188.2,2021-07-13 04:55:02.640
1018,33188.2,2021-07-13 04:55:23.640
1056,33161.5,2021-07-13 04:55:45.342
1098,33157.9,2021-07-13 04:56:02.574
1140,33164.0,2021-07-13 04:56:29.634
1182,33144.0,2021-07-13 04:56:49.740
1223,33142.5,2021-07-13 04:57:02.594
1244,33134.5,2021-07-13 04:57:24.533
1285,33130.7,2021-07-13 04:57:46.223
1327,33142.75,2021-07-13 04:58:02.550
1369,33142.25,2021-07-13 04:58:30.637
1408,33142.5,2021-07-13 04:58:46.429
1429,33133.25,2021-07-13 04:59:02.631
1471,33134.0,2021-07-13 04:59:25.676
1512,33167.75,2021-07-13 04:59:47.403
1554,33176.0,2021-07-13 05:00:02.597
1595,33207.6,2021-07-13 05:00:22.953
1637,33210.0,2021-07-13 05:00:49.722
1657,33211.0,2021-07-13 05:01:04.205
1699,33216.35,2021-07-13 05:01:26.367
1739,33197.5,2021-07-13 05:01:46.426
1781,33175.5,2021-07-13 05:02:04.259
1822,33157.75,2021-07-13 05:02:24.339
1843,33153.75,2021-07-13 05:02:43.437
1885,33139.0,2021-07-13 05:03:03.624
1927,33148.75,2021-07-13 05:03:26.326
1969,33128.85,2021-07-13 05:03:46.404
2011,33142.5,2021-07-13 05:04:07.025
2042,33135.0,2021-07-13 05:04:27.379
2084,33150.0,2021-07-13 05:04:47.732
2124,33150.25,2021-07-13 05:05:08.086
2144,33139.65,2021-07-13 05:05:23.262
2186,33145.25,2021-07-13 05:05:45.567
2227,33158.1,2021-07-13 05:06:04.764
2269,33138.35,2021-07-13 05:06:29.505
2309,33124.0,2021-07-13 05:06:49.810
2351,33123.5,2021-07-13 05:07:04.811
2371,33135.5,2021-07-13 05:07:24.328
2413,33148.25,2021-07-13 05:07:46.434
2453,33150.1,2021-07-13 05:08:02.722
2494,33150.75,2021-07-13 05:08:30.509
2535,33147.35,2021-07-13 05:08:49.795
2556,33141.2,2021-07-13 05:09:03.460
2598,33141.7,2021-07-13 05:09:25.704
2639,33128.75,2021-07-13 05:09:46.432
2679,33154.5,2021-07-13 05:10:10.546
2721,33150.7,2021-07-13 05:10:32.721
2741,33144.15,2021-07-13 05:10:43.305
2783,33136.5,2021-07-13 05:11:03.718
2824,33135.7,2021-07-13 05:11:24.911
2866,33125.75,2021-07-13 05:11:46.469
2907,33122.75,2021-07-13 05:12:02.785
2928,33126.85,2021-07-13 05:12:22.607
2969,33121.1,2021-07-13 05:12:44.416
3010,33125.5,2021-07-13 05:13:03.711
3052,33132.5,2021-07-13 05:13:28.334
3090,33120.35,2021-07-13 05:13:46.437
3132,33115.25,2021-07-13 05:14:12.501
3153,33121.75,2021-07-13 05:14:23.662
3205,33113.3,2021-07-13 05:14:46.867
3247,33114.05,2021-07-13 05:15:04.846
3268,33117.95,2021-07-13 05:15:24.461
3309,33122.85,2021-07-13 05:15:46.188
3351,33120.85,2021-07-13 05:16:02.905
3393,33141.75,2021-07-13 05:16:30.527
3432,33136.65,2021-07-13 05:16:49.889
3453,33135.65,2021-07-13 05:17:03.655
3494,33138.15,2021-07-13 05:17:24.022
3536,33136.15,2021-07-13 05:17:46.442
3578,33112.3,2021-07-13 05:18:02.736
3619,33111.5,2021-07-13 05:18:29.693
3640,33112.35,2021-07-13 05:18:42.559
3682,33119.1,2021-07-13 05:19:02.906
3723,33125.6,2021-07-13 05:19:26.203
3763,33136.35,2021-07-13 05:19:46.448
3805,33152.0,2021-07-13 05:20:12.450
3826,33162.1,2021-07-13 05:20:23.510
3867,33160.6,2021-07-13 05:20:45.253
3909,33162.5,2021-07-13 05:21:03.414
3950,33175.0,2021-07-13 05:21:26.000
3992,33169.5,2021-07-13 05:21:46.356
4033,33170.35,2021-07-13 05:22:03.708
4054,33162.5,2021-07-13 05:22:24.519
4092,33155.65,2021-07-13 05:22:46.274
4134,33156.75,2021-07-13 05:23:04.922
4175,33152.75,2021-07-13 05:23:30.182
4217,33139.6,2021-07-13 05:23:52.591
4238,33143.35,2021-07-13 05:24:03.702
4279,33152.75,2021-07-13 05:24:25.594
4329,33154.85,2021-07-13 05:24:46.455
4350,33164.5,2021-07-13 05:25:02.731
4391,33173.1,2021-07-13 05:25:25.405
4431,33174.5,2021-07-13 05:25:47.218
4472,33173.75,2021-07-13 05:26:02.875
4513,33179.0,2021-07-13 05:26:31.373
4555,33174.5,2021-07-13 05:26:46.424
4576,33175.0,2021-07-13 05:27:04.044
4617,33179.0,2021-07-13 05:27:22.864
4658,33154.6,2021-07-13 05:27:43.236
4699,33167.0,2021-07-13 05:28:02.756
4740,33162.1,2021-07-13 05:28:23.964
4761,33162.5,2021-07-13 05:28:43.705
4796,33162.6,2021-07-13 05:29:02.808
4838,33162.25,2021-07-13 05:29:27.590
4881,33157.05,2021-07-13 05:29:46.431
4923,33154.9,2021-07-13 05:30:04.981
4944,33162.5,2021-07-13 05:30:23.498
4986,33173.75,2021-07-13 05:30:45.495
5027,33171.75,2021-07-13 05:31:02.828
5069,33174.85,2021-07-13 05:31:27.571
5111,33174.1,2021-07-13 05:31:46.446
5130,33178.25,2021-07-13 05:32:02.698
5171,33168.75,2021-07-13 05:32:24.693
5212,33155.35,2021-07-13 05:32:46.187
5254,33142.55,2021-07-13 05:33:02.776
5286,33126.5,2021-07-13 05:33:30.393
5328,33127.35,2021-07-13 05:33:46.442
5348,33135.25,2021-07-13 05:34:03.200
5390,33152.75,2021-07-13 05:34:25.268
5432,33160.1,2021-07-13 05:34:46.442
5470,33161.5,2021-07-13 05:35:03.682
5512,33156.1,2021-07-13 05:35:31.359
5554,33162.5,2021-07-13 05:35:46.411
5575,33164.0,2021-07-13 05:36:04.586
5616,33170.5,2021-07-13 05:36:26.406
5658,33182.85,2021-07-13 05:36:46.442
5699,33182.5,2021-07-13 05:37:02.767
5741,33181.85,2021-07-13 05:37:32.313
5762,33182.25,2021-07-13 05:37:43.409
5804,33179.5,2021-07-13 05:38:05.199
5843,33175.05,2021-07-13 05:38:25.565
5885,33163.35,2021-07-13 05:38:45.915
5926,33161.75,2021-07-13 05:39:02.817
5968,33160.6,2021-07-13 05:39:31.441
5989,33161.5,2021-07-13 05:39:44.552
6030,33180.6,2021-07-13 05:40:06.460
6071,33193.75,2021-07-13 05:40:27.889
6113,33195.0,2021-07-13 05:40:46.462
6154,33196.25,2021-07-13 05:41:12.484
6172,33198.75,2021-07-13 05:41:23.484
6213,33205.25,2021-07-13 05:41:45.210
6255,33198.25,2021-07-13 05:42:05.074
6296,33186.0,2021-07-13 05:42:24.292
6337,33184.5,2021-07-13 05:42:50.155
6358,33185.5,2021-07-13 05:43:02.577
6397,33194.85,2021-07-13 05:43:24.221
6439,33194.25,2021-07-13 05:43:46.331
6481,33193.0,2021-07-13 05:44:05.115
6524,33189.5,2021-07-13 05:44:29.448
6566,33176.0,2021-07-13 05:44:52.933
6587,33177.75,2021-07-13 05:45:02.591
6626,33179.5,2021-07-13 05:45:23.561
6667,33162.1,2021-07-13 05:45:43.926
6709,33167.5,2021-07-13 05:46:02.765
