,price,time
0,33182.0,2021-07-13 10:47:26.265
32,33181.5,2021-07-13 10:47:48.424
73,33181.0,2021-07-13 10:48:07.798
111,33177.5,2021-07-13 10:48:31.625
132,33178.5,2021-07-13 10:48:43.593
173,33180.5,2021-07-13 10:49:03.993
208,33193.1,2021-07-13 10:49:24.262
246,33192.0,2021-07-13 10:49:44.618
287,33189.5,2021-07-13 10:50:04.993
323,33173.05,2021-07-13 10:50:25.361
340,33166.5,2021-07-13 10:50:44.473
378,33165.75,2021-07-13 10:51:06.102
417,33173.3,2021-07-13 10:51:26.463
458,33170.5,2021-07-13 10:51:46.844
500,33165.75,2021-07-13 10:52:05.397
539,33166.0,2021-07-13 10:52:27.535
559,33162.25,2021-07-13 10:52:45.682
599,33168.0,2021-07-13 10:53:07.414
639,33166.75,2021-07-13 10:53:28.621
660,33155.25,2021-07-13 10:53:43.484
701,33156.35,2021-07-13 10:54:05.356
741,33167.0,2021-07-13 10:54:27.695
780,33158.5,2021-07-13 10:54:49.482
821,33173.55,2021-07-13 10:55:10.582
862,33172.25,2021-07-13 10:55:30.959
883,33169.5,2021-07-13 10:55:44.631
923,33166.6,2021-07-13 10:56:06.314
965,33169.75,2021-07-13 10:56:28.542
1006,33165.25,2021-07-13 10:56:46.634
1048,33169.0,2021-07-13 10:57:12.334
1066,33178.0,2021-07-13 10:57:23.254
1107,33181.75,2021-07-13 10:57:43.564
1149,33186.25,2021-07-13 10:58:03.910
1190,33190.75,2021-07-13 10:58:29.557
1231,33190.85,2021-07-13 10:58:46.643
1273,33187.25,2021-07-13 10:59:13.589
1293,33185.0,2021-07-13 10:59:24.216
1334,33183.85,2021-07-13 10:59:46.497
1375,33205.95,2021-07-13 11:00:07.927
1414,33223.1,2021-07-13 11:00:30.430
1456,33230.35,2021-07-13 11:00:46.640
1494,33235.6,2021-07-13 11:01:12.523
1515,33241.75,2021-07-13 11:01:23.640
1556,33249.85,2021-07-13 11:01:45.215
1597,33244.25,2021-07-13 11:02:03.390
